,m_108,696330,20,56,,,,0,0,2
,m_108,698570,14,64,1.56,0,0,0,0,4
,m_108,698620,12,64,1.46,0.03,0,0,0,4
,m_108,698670,10,64,1.74,0,0,0,0,5
,m_108,699740,7,65,1.57,0.02,0,0,0,6
,m_108,700010,8,64,1.9,0,0,0,0,4
,m_108,700790,16,65,1.68,0.02,0,0,0,4
,m_108,701840,7,65,1.52,0.01,0,0,0,4
,m_108,702440,6,65,1.5,0.01,0,0,0,4
,m_108,702510,5,66,1.31,0.04,0,0,0,2
,m_108,703170,6,65,1.79,0,0,0,0,5
,m_108,703790,7,66,1.9,0,0,0,0,6
,m_108,703950,5,66,1.9,0.03,0,0,0,13
,m_108,705140,9,66,2.33,0,0,0,0,8
,m_108,705840,11,67,2.33,0,0,0,0,9
,m_108,707530,10,67,2.34,0.01,0,0,0,15
,m_108,707800,9,67,2.11,0,1,0,0,9
,m_108,707860,11,66,2.28,0,1,0,0,10
,m_108,709910,8,68,1.97,0,0,0,0,4
,m_108,710070,6,69,1.95,0,0,0,0,
,m_108,710540,9,68,1.98,0.01,0,0,0,5
,m_108,710840,6,68,1.86,0.01,0,0,0,4
,m_108,711330,12,68,2.1,0,0,0,0,4
,m_108,712110,9,69,1.83,0,0,0,0,5
,m_108,712820,12,69,1.51,0,0,0,0,4
,m_108,712870,11,69,1.54,0,0,0,0,5
,m_108,713040,14,70,1.77,0,0,0,0,3
,m_108,714630,13,71,1.35,0,0,0,0,10
,m_108,715100,11,71,1.58,0.02,0,0,0,
,m_108,715710,7,71,1.73,0,0,0,0,12
,m_108,715980,14,72,1.78,0,0,0,0,5
,m_108,716140,11,72,1.46,0.03,0,0,0,4
,m_108,716720,18,72,1.68,0,0,0,0,12
,m_108,716870,14,72,1.56,0,0,0,0,7
,m_108,717420,12,72,1.78,0,0,0,0,16
,m_108,717450,8,72,1.76,0.01,0,0,0,16
,m_108,718040,8,72,1.5,0.01,0,0,0,12
,m_108,718260,11,72,1.87,0,0,0,0,8
,m_108,718890,12,73,,,,0,0,29
